event_date,country_id,network_id,client_id,value_usd
2022-01-01,1,10,71,4.680000
2022-01-01,1,10,94,223.439997
2022-01-01,1,10,104,0.800000
2022-01-01,1,10,121,4.870000
2022-01-01,1,10,174,1.300000
2022-01-01,1,10,189,1.450000
2022-01-01,1,60,71,9.230000
2022-01-01,1,60,94,127.428002
2022-01-01,1,60,104,4.338000
2022-01-01,1,60,121,26.880000
2022-01-01,1,60,152,139.724998
2022-01-01,1,60,174,144.791997
2022-01-01,1,60,183,1.392000
2022-01-01,1,60,184,0.754000
2022-01-01,1,60,189,14.308000
2022-01-01,1,60,219,4.954000
2022-01-01,17,10,71,0.860000
2022-01-01,17,10,95,2.000000
2022-01-01,17,10,104,1.000000
2022-01-01,109,10,73,1.300000
2022-01-01,109,10,104,3.760000
2022-01-01,109,10,174,12.920000
2022-01-01,109,60,73,0.100000
2022-01-01,109,60,95,0.200000
2022-01-01,109,60,97,0.741000
2022-01-01,109,60,121,7.206000
2022-01-01,109,60,174,34.469000
2022-01-01,109,60,184,2.414000
2022-01-01,109,60,189,1.235000
2022-01-01,109,60,219,0.100000
2022-01-01,213,60,184,2.654000
2022-01-01,213,60,189,2.000000
2022-01-01,213,60,219,3.200000
2022-01-02,1,10,71,1.560000
2022-01-02,1,10,94,291.839996
2022-01-02,1,10,98,0.800000
2022-01-02,1,10,121,4.040000
2022-01-02,1,10,174,1.300000
2022-01-02,1,10,189,2.360000
2022-01-02,1,60,71,20.671000
2022-01-02,1,60,94,174.278003
2022-01-02,1,60,95,1.500000
2022-01-02,1,60,97,0.632000
2022-01-02,1,60,104,9.774000
2022-01-02,1,60,121,62.694000
2022-01-02,1,60,152,191.788997
2022-01-02,1,60,174,197.918995
2022-01-02,1,60,183,2.784000
2022-01-02,1,60,184,0.377000
2022-01-02,1,60,189,17.114000
2022-01-02,1,60,219,4.954000
2022-01-02,17,10,71,0.860000
2022-01-02,17,60,71,1.610000
2022-01-02,109,10,71,1.500000
2022-01-02,109,10,73,1.300000
2022-01-02,109,10,104,5.640000
2022-01-02,109,10,121,0.320000
2022-01-02,109,10,174,18.240000
2022-01-02,109,60,71,0.600000
2022-01-02,109,60,94,0.506000
2022-01-02,109,60,95,0.200000
2022-01-02,109,60,97,1.235000
2022-01-02,109,60,121,14.164000
2022-01-02,109,60,174,46.722000
2022-01-02,109,60,184,0.169000
2022-01-02,109,60,189,3.695000
2022-01-02,109,60,219,1.000000
2022-01-02,213,60,184,2.736000
2022-01-02,213,60,189,1.000000
2022-01-02,213,60,219,0.600000
2022-01-03,1,10,71,1.560000
2022-01-03,1,10,94,232.559997
2022-01-03,1,10,104,1.600000
2022-01-03,1,10,121,2.020000
2022-01-03,1,10,152,0.690000
2022-01-03,1,10,174,1.300000
2022-01-03,1,10,189,4.720000
2022-01-03,1,60,71,12.901000
2022-01-03,1,60,73,0.540000
2022-01-03,1,60,94,161.786004
2022-01-03,1,60,95,1.500000
2022-01-03,1,60,97,2.004000
2022-01-03,1,60,104,14.702000
2022-01-03,1,60,121,45.854999
2022-01-03,1,60,152,32.911000
2022-01-03,1,60,154,0.698000
2022-01-03,1,60,174,149.065996
2022-01-03,1,60,183,2.784000
2022-01-03,1,60,184,2.945000
2022-01-03,1,60,189,25.746000
2022-01-03,1,60,219,4.900000
2022-01-03,17,10,174,2.000000
2022-01-03,17,60,71,0.655000
2022-01-03,17,60,189,1.000000
2022-01-03,17,60,219,0.800000
2022-01-03,109,10,71,0.900000
2022-01-03,109,10,73,0.520000
2022-01-03,109,10,104,7.050000
2022-01-03,109,10,121,0.320000
2022-01-03,109,10,174,15.960000
2022-01-03,109,10,189,0.240000
2022-01-03,109,60,73,0.200000
2022-01-03,109,60,94,0.596000
2022-01-03,109,60,97,1.729000
2022-01-03,109,60,121,10.201000
2022-01-03,109,60,154,0.130000
2022-01-03,109,60,174,47.426000
2022-01-03,109,60,184,6.924000
2022-01-03,109,60,189,1.940000
2022-01-03,109,60,219,0.500000
2022-01-03,213,60,184,1.803000
2022-01-03,213,60,219,1.900000
2022-01-04,1,10,71,4.680000
2022-01-04,1,10,94,168.719998
2022-01-04,1,10,104,0.800000
2022-01-04,1,10,174,1.300000
2022-01-04,1,10,189,3.540000
2022-01-04,1,60,71,12.901000
2022-01-04,1,60,73,0.540000
2022-01-04,1,60,94,193.693003
2022-01-04,1,60,95,3.000000
2022-01-04,1,60,97,2.636000
2022-01-04,1,60,104,21.076000
2022-01-04,1,60,121,34.532000
2022-01-04,1,60,152,3.379000
2022-01-04,1,60,154,0.698000
2022-01-04,1,60,174,171.784995
2022-01-04,1,60,184,3.694000
2022-01-04,1,60,189,24.069000
2022-01-04,1,60,219,11.154000
2022-01-04,17,10,104,1.000000
2022-01-04,17,60,71,0.955000
2022-01-04,17,60,174,1.000000
2022-01-04,109,10,71,0.900000
2022-01-04,109,10,73,1.040000
2022-01-04,109,10,97,0.230000
2022-01-04,109,10,104,7.050000
2022-01-04,109,10,174,12.920000
2022-01-04,109,10,184,0.200000
2022-01-04,109,60,71,0.600000
2022-01-04,109,60,94,0.651000
2022-01-04,109,60,95,0.200000
2022-01-04,109,60,97,1.235000
2022-01-04,109,60,121,12.507000
2022-01-04,109,60,174,38.578000
2022-01-04,109,60,184,1.748000
2022-01-04,109,60,189,1.940000
2022-01-04,109,60,219,0.600000
2022-01-04,213,60,184,2.475000
2022-01-04,213,60,219,0.900000
2022-01-05,1,10,94,227.999997
2022-01-05,1,10,104,0.800000
2022-01-05,1,10,121,2.020000
2022-01-05,1,10,174,1.300000
2022-01-05,1,60,71,15.500999
2022-01-05,1,60,94,150.743002
2022-01-05,1,60,95,3.000000
2022-01-05,1,60,97,0.632000
2022-01-05,1,60,104,11.220000
2022-01-05,1,60,121,29.244000
2022-01-05,1,60,122,1.200000
2022-01-05,1,60,152,3.379000
2022-01-05,1,60,154,0.698000
2022-01-05,1,60,174,150.452996
2022-01-05,1,60,183,1.392000
2022-01-05,1,60,184,3.389000
2022-01-05,1,60,189,23.858000
2022-01-05,1,60,219,10.228000
2022-01-05,17,10,71,1.720000
2022-01-05,17,10,73,0.540000
2022-01-05,109,10,71,1.800000
2022-01-05,109,10,73,1.820000
2022-01-05,109,10,104,7.990000
2022-01-05,109,10,121,0.320000
2022-01-05,109,10,174,19.760000
2022-01-05,109,60,71,0.600000
2022-01-05,109,60,94,0.766000
2022-01-05,109,60,97,1.235000
2022-01-05,109,60,121,10.271000
2022-01-05,109,60,154,0.130000
2022-01-05,109,60,174,38.388000
2022-01-05,109,60,184,3.668000
2022-01-05,109,60,189,1.705000
2022-01-05,109,60,219,0.100000
2022-01-05,213,60,184,2.370000
2022-01-05,213,60,219,2.000000
2022-01-06,1,10,94,130.699999
2022-01-06,1,10,95,2.000000
2022-01-06,1,10,121,4.040000
2022-01-06,1,10,189,6.150000
2022-01-06,1,60,71,12.171000
2022-01-06,1,60,94,153.364002
2022-01-06,1,60,95,3.000000
2022-01-06,1,60,97,1.264000
2022-01-06,1,60,104,10.600000
2022-01-06,1,60,121,41.305000
2022-01-06,1,60,122,1.200000
2022-01-06,1,60,152,3.379000
2022-01-06,1,60,154,0.698000
2022-01-06,1,60,174,133.431997
2022-01-06,1,60,184,5.949000
2022-01-06,1,60,189,21.198000
2022-01-06,1,60,219,1.074000
2022-01-06,17,10,71,0.860000
2022-01-06,17,60,71,0.300000
2022-01-06,109,10,71,1.500000
2022-01-06,109,10,73,1.300000
2022-01-06,109,10,94,0.240000
